,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Operating System Version,Weight,Price,Pixel,full_hd,ips panel,touchscreen,4k ultra hd,quad hd+,retina display,CPU-a,CPU-b,SSD,HDD,Flash_storage,Hybrid_storage,GPU-a,GPU-b,MX_GPU,Gr_AMDc,Gr_AMDr,GTX_card
10,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,No OS,No_ver,1.86,9982.29258,1366x768,0,0,0,0,0,0,Intel Core i5,2.5,0,500,0,0,Intel HD Graphics,620,0,620,0,0
11,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,No_ver,1.86,8742.805578000001,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,0,500,0,0,Intel HD Graphics,520,0,520,0,0
12,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256GB SSD,AMD Radeon Pro 555,macOS,No_ver,1.83,61834.207733999996,2880x1800,0,1,0,0,0,1,Intel Core i7,2.8,256,0,0,0,AMD Radeon,555,0,0,555,0
13,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2,12643.22358,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,256,0,0,0,AMD Radeon,M430,0,430,0,0
14,Apple,MacBook,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256GB SSD,Intel HD Graphics 615,macOS,No_ver,0.92,31991.99328,2304x1440,0,1,0,0,0,1,Intel Core M,1.2,256,0,0,0,Intel HD Graphics,615,0,0,615,0
15,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256GB SSD,Intel Iris Plus Graphics 640,macOS,No_ver,1.37,38483.39781,2560x1600,0,1,0,0,0,1,Intel Core i5,2.3,256,0,0,0,Intel Iris Plus Graphics,640,0,0,0,0
16,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2,18879.939,1920x1080,1,0,0,0,0,0,Intel Core i7,2.7,256,0,0,0,AMD Radeon,M430,0,430,0,0
17,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512GB SSD,AMD Radeon Pro 560,macOS,No_ver,1.83,72428.0076,2880x1800,0,1,0,0,0,1,Intel Core i7,2.9,512,0,0,0,AMD Radeon,560,0,0,560,0
18,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,No OS,No_ver,2.2,12645.7578,1920x1080,1,0,0,0,0,0,Intel Core i3,2.4,0,1024,0,0,Nvidia GeForce,940MX,940,0,0,0
19,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,Windows,10,1.22,24810.0138,1920x1080,1,1,1,0,0,0,Intel Core i5,1.6,128,0,0,0,Intel UHD Graphics,620,0,620,0,0
20,Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,Windows,10,0.98,4863.16818,1366x768,0,0,0,0,0,0,Intel Atom,1.44,0,0,32,0,Intel HD Graphics,400,0,400,0,0
21,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5,25316.8578,1920x1080,1,1,0,0,0,0,Intel Core i5,2.5,128,1024,0,0,Nvidia GeForce,1050,0,0,0,1050
22,HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,No OS,No_ver,1.86,6538.2876,1366x768,0,0,0,0,0,0,AMD E-Series,1.5,0,500,0,0,AMD Radeon,R2,0,0,0,0
23,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.62,20755.2618,1920x1080,1,0,1,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
24,HP,15-BS101nv,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.91,16700.5098,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,256,0,0,0,Intel HD Graphics,620,0,620,0,0
25,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows,10,2.3,10609.258608,1366x768,0,0,0,0,0,0,Intel Core i3,2.0,0,1024,0,0,Intel HD Graphics,520,0,520,0,0
26,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS,No_ver,1.35,27851.0778,1440x900,0,0,0,0,0,0,Intel Core i5,1.6,0,0,128,0,Intel HD Graphics,6000,0,0,600,0
27,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,Windows,10,2.2,20273.76,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,256,0,0,0,AMD Radeon,530,0,530,0,0
28,Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,10,1.88,32894.1756,1920x1080,1,0,0,0,0,0,Intel Core i7,1.9,512,0,0,0,Intel UHD Graphics,620,0,620,0,0
29,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5,22706.6112,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,0,1024,0,0,Nvidia GeForce,930MX,930,0,0,0
30,Chuwi,LapBook,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,Windows,10,1.89,6208.585578000001,1920x1080,1,0,0,0,0,0,Intel Atom,1.44,0,0,64,0,Intel HD Graphics,Graphics,0,530,0,0
31,Asus,E402WA-GA010T,Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,Windows,10,1.65,5043.0978,1366x768,0,0,0,0,0,0,AMD E-Series,1.5,0,0,32,0,AMD Radeon,R2,0,0,0,0
32,HP,17-ak001nv,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,Windows,10,2.71,11125.2258,1920x1080,1,0,0,0,0,0,AMD A6-Series,2.5,0,500,0,0,AMD Radeon,530,0,530,0,0
33,Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows,10,1.2,47364.5718,3200x1800,0,0,1,0,1,0,Intel Core i7,1.8,512,0,0,0,Intel UHD Graphics,620,0,620,0,0
34,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS,No_ver,1.35,25291.5156,1440x900,0,0,0,0,0,0,Intel Core i5,1.6,0,0,256,0,Intel HD Graphics,6000,0,0,600,0
35,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44,6310.2078,1366x768,0,0,0,0,0,0,Intel Celeron Dual Core,1.1,0,0,64,0,Intel HD Graphics,500,0,500,0,0
36,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,Linux,No_ver,2.1,9300.5874,1366x768,0,0,0,0,0,0,Intel Core i3,2.7,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
37,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8,24810.0138,1920x1080,1,1,0,0,0,0,Intel Core i5,1.6,128,1024,0,0,AMD Radeon,530,0,530,0,0
38,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,1.86,12384.479718000002,1366x768,0,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
39,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX,Windows,10,2.1,22275.7938,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Nvidia GeForce,930MX,930,0,0,0
40,Asus,X540UA-DM186,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 620,Linux,No_ver,2.0,9858.1158,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
41,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.65,37987.9578,1920x1080,1,1,0,0,0,0,Intel Core i7,2.8,256,1024,0,0,Nvidia GeForce,1060,0,0,0,1060
42,Asus,X542UQ-GO005,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,Linux,No_ver,2.3,13253.717177999999,1366x768,0,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,Nvidia GeForce,940MX,940,0,0,0
43,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,Windows,10,2.2,17283.3804,1920x1080,1,1,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
44,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce 150MX,Windows,10,2.77,25316.8578,1920x1080,1,0,1,0,0,0,Intel Core i5,1.6,0,1024,0,0,Nvidia GeForce,150MX,150,0,0,0
45,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,macOS,No_ver,1.37,35960.5818,2560x1600,0,1,0,0,0,1,Intel Core i5,2.0,256,0,0,0,Intel Iris Graphics,540,0,0,540,0
46,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,No OS,No_ver,2.2,9351.2718,1366x768,0,0,0,0,0,0,Intel Core i3,2.0,128,0,0,0,Intel HD Graphics,520,0,520,0,0
47,Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2,32919.5178,1920x1080,1,0,0,0,0,0,AMD Ryzen 1,3.0,256,1024,0,0,AMD Radeon,580,0,0,580,0
48,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,Windows,10,2.3,16193.6658,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,AMD Radeon,M430,0,430,0,0
49,Asus,X751NV-TY001T,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.8,11809.4652,1366x768,0,0,0,0,0,0,Intel Pentium Quad Core,1.1,0,1024,0,0,Nvidia GeForce,920MX,920,0,0,0
50,Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,Android,No_ver,0.69,8084.1618,1920x1200,0,1,1,0,0,0,Intel Atom,1.44,0,0,64,0,Intel HD Graphics,400,0,400,0,0
51,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,Windows,10,2.2,21312.7902,1920x1080,1,1,0,0,0,0,Intel Core i7,1.8,256,0,0,0,Nvidia GeForce,MX150,150,0,0,0
52,HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,Windows,10,1.86,10098.613278,1920x1080,1,0,0,0,0,0,AMD A6-Series,2.5,256,0,0,0,AMD Radeon,Graphics,0,530,0,0
53,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49,27952.4466,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,512,0,0,0,Intel UHD Graphics,620,0,620,0,0
54,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,2.4,9731.4048,1366x768,0,0,0,0,0,0,Intel Core i3,2.4,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
55,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,Windows,10,2.13,19457.74116,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,256,0,0,0,AMD Radeon,520,0,520,0,0
56,HP,15-bs002nv,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Windows,10,1.91,11125.2258,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,128,0,0,0,Intel HD Graphics,520,0,520,0,0
57,Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows,10,2.0,14855.344218000002,1366x768,0,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
58,MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.43,62063.0478,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,256,2048,0,0,Nvidia GeForce,1070,0,0,0,1070
59,Asus,X541UA-DM1897,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,Linux,No_ver,2.0,10517.013,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,256,0,0,0,Intel HD Graphics,520,0,520,0,0
60,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8,32919.5178,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,256,2048,0,0,AMD Radeon,530,0,530,0,0
61,Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.7,22275.7938,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
62,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,No OS,No_ver,1.7,15179.9778,1920x1080,1,1,0,0,0,0,Intel Core i3,2.7,256,0,0,0,Intel HD Graphics,620,0,620,0,0
63,Asus,UX410UA-GV350T,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.4,23847.0102,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
64,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.86,17486.118,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
65,Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8,50253.5826,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,512,0,0,0,Nvidia GeForce,1050 Ti,0,0,0,1050
66,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,Windows,10,1.86,11117.369718,1366x768,0,0,0,0,0,0,Intel Core i3,2.0,0,500,0,0,AMD Radeon,520,0,520,0,0
67,HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,Windows,10,1.44,5803.3638,1366x768,0,0,0,0,0,0,Intel Celeron Dual Core,1.6,32,0,0,0,Intel HD Graphics,400,0,400,0,0
68,Lenovo,V310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,1.9,13912.8678,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
69,Asus,FX753VE-GC093,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,No_ver,3.0,24049.7478,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,0,1024,0,0,Nvidia GeForce,1050 Ti,0,0,0,1050
70,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,Windows,10 S,1.252,27597.6558,2256x1504,0,0,1,0,0,0,Intel Core i5,2.5,128,0,0,0,Intel HD Graphics,620,0,620,0,0
71,Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows,10,1.4,24201.801,1920x1080,1,1,0,0,0,0,Intel Core i7,1.8,256,0,0,0,AMD Radeon,530,0,530,0,0
72,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows,10,2.2,22047.714,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,256,0,0,0,AMD Radeon,530,0,530,0,0
73,MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.7,27749.709,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,128,1024,0,0,Nvidia GeForce,1050,0,0,0,1050
74,Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,Windows,10,2.1,9858.1158,1366x768,0,0,0,0,0,0,Intel Core i3,2.0,0,1024,0,0,Intel HD Graphics,520,0,520,0,0
75,Asus,FX503VD-E4022T,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2,24049.7478,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,0,1024,0,0,Nvidia GeForce,1050,0,0,0,1050
76,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,No OS,No_ver,2.2,13152.6018,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,0,2048,0,0,Intel HD Graphics,620,0,620,0,0
77,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows,10,2.02,21667.581,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,128,1024,0,0,Intel UHD Graphics,620,0,620,0,0
78,Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2,13431.366,1920x1080,1,0,0,0,0,0,Intel Core i3,2.7,0,1024,0,0,Nvidia GeForce,MX130,130,0,0,0
79,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5,24759.3294,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,128,1024,0,0,Nvidia GeForce,930MX,930,0,0,0
80,Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.88,27779.105952,1920x1080,1,1,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
81,Apple,MacBook,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,macOS,No_ver,0.92,38266.722,2304x1440,0,1,0,0,0,1,Intel Core i5,1.3,512,0,0,0,Intel HD Graphics,615,0,0,615,0
82,HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.63,21794.292,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel HD Graphics,620,0,620,0,0
83,Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,Windows,10,2.2,10111.5378,1920x1080,1,0,0,0,0,0,AMD A6-Series,2.5,128,0,0,0,AMD R4 Graphics,Graphics,0,530,0,0
84,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5,Windows,10,2.1,10010.169,1366x768,0,0,0,0,0,0,AMD A9-Series,3.0,0,1024,0,0,AMD Radeon,R5,0,0,0,0
85,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65,34186.6278,1920x1080,1,1,0,0,0,0,Intel Core i7,2.8,128,1024,0,0,Nvidia GeForce,1050 Ti,0,0,0,1050
86,HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,Windows,10,1.83,17714.1978,1920x1080,1,1,0,0,0,0,Intel Core i7,1.8,256,0,0,0,Nvidia GeForce,940MX,940,0,0,0
87,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.96,15179.724377999999,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
